"","X.1","X","Tm","Player","Age","G","MP","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.",".","OWS","DWS","WS","WS.48","..1","OBPM","DBPM","BPM","VORP","OWS.48","DWS.48","Shot.","Player.ID","Team.Mar","Team.MP","Team.Gm","Year.3PAr","Team.TS.","Tm.USG","Tm.TS.W.O.Plyr","Reb.Vers","Defense","Val.Shot","Offense","MPG...Int","RAW.SPM","X.Min","RAW.Contrib","Tm.Sum","Tm.Adj","BPM.1","StdErr","Contrib","VORP.1","Reb.Vers.1","Val.Shot.1","Offense.1","Defense.1","MPG","Raw.OBPM","Contrib.1","Tm.Ortg","Tm.Sum.1","Tm.Adj.1","Tm.DRtg","OBPM.1","OStdErr","Ocontrib","OVORP","DBPM.1","DStdErr","Dcontrib","DVORP","Sum.SPM","X.Min.1","MPG.1","ReMPG","BPM.2","Contrib.2","VORP.2","VORP.Gm","O.BPM","Ocontrib.1","OVORP.1","OVORP.Gm","D.BPM","Dcontrib.1","DVORP.1","DVORP.Gm","Production","Prod.Gm","Exp.BPM","TrueTalentBPM","Exp.Min","TrueTalentVORP","TrueSalary","TrueTimeVORP","Adjusted.Production","WORP","O.WORP","D.WORP","Adjusted.WORP","Estimated.Position","BBRef.Pos","Age.on.Feb.1","Yrs.Experience","Height","Weight","Rounded.Position","Rounded.Age","Age_factor","position_factor","MinPG","MinPG_factor","BPM_factor","Dcontri_factor"
"120",120,16403,"UTA","Dante Exum",19,82,1817,5.7,0.457,0.077,1.7,6.6,4.2,16.6,1.2,0.6,21.5,13.8,0,-1.1,1,-0.1,-0.003,0,-2.6,-1.3,-3.8,-0.8,-0.029,0.026,10.8,"exumda01",0.79,19705,82,0.268,0.531,336440,0.536,-0.98,-1.05,0.02,-1.53,-0.39,-3.96,"46.10%",-1.82,0.25,0.14,-3.8,2.2,-1.8,-0.8,-0.4,0.3,-2,-0.1,-0.2,-2.4,-1.1,-0.2,0.3,-0.1,1,-2.6,1.4,-1.2,-0.4,-1.3,1.6,-0.6,-0.4,-1.3,0.5,22.2,21.1,-3.8,-1.8,-0.8,-0.8,-2.6,-1.2,-0.4,-0.4,-1.3,-0.6,-0.4,-0.4,"($3,000,000)","($3,000,000)",-1,-2.4,0.15,-0.1,7e+05,-0.3,"($300,000)",-2.3,-1.1,-1.2,-0.8,"1.7","1","19.56","0",78,"190","2","20","Rookie","SG",22.1585365853659,"Bench","Negative","Negative"
"121",121,16404,"BOS","Marcus Smart",20,67,1808,11,0.491,0.266,3.6,9.9,6.7,16.3,2.7,0.8,14.4,15.1,0,0.7,2.2,2.9,0.077,0,-0.1,1.3,1.1,1.4,0.019,0.058,12.9,"smartma01",-0.44,19880,82,0.268,0.523,347983,0.525,0.27,0.94,0.09,-0.08,0.14,1.28,"45.50%",0.58,0.15,-0.13,1.1,2.2,0.5,1.4,0.1,0.4,-0.3,0.4,0.1,0.7,0.3,-1.3,2.5,-0.8,0.9,-0.1,1.4,-0.1,0.7,1.3,1.6,0.6,0.7,-1.4,0.5,27,25.5,1.1,0.5,1.4,1.7,-0.1,-0.1,0.7,0.9,1.3,0.6,0.7,0.9,"$7,700,000 ","$9,300,000 ",-0.2,0.5,0.58,1.4,7700000,1.8,"$9,500,000 ",3.9,1.9,1.9,4.9,"2","1","20.91","0",76,"220","2","21","Rookie","SG",26.9850746268657,"Bench","Positive","Positive"
"122",122,16405,"OKC","Anthony Morrow",29,74,1806,14.8,0.604,0.145,2.4,9.1,5.8,5.2,1.5,0.5,5.5,16.5,0,4.4,1.2,5.7,0.151,0,2.4,-1.8,0.6,1.2,0.118,0.033,15.6,"morroan01",2.54,19832,82,0.268,0.532,344899,0.526,-3.35,-0.73,0.11,4.9,-0.14,0.68,"45.50%",0.31,3.19,-0.03,0.7,2.2,0.3,1.2,-1.2,0.5,3.3,0,-0.1,2.5,1.1,2,2.7,-0.1,0.6,2.4,1.5,1.1,1.9,-1.8,1.6,-0.8,-0.7,4.2,0.5,24.4,23.2,0.7,0.3,1.2,1.3,2.4,1.1,1.9,2.1,-1.8,-0.8,-0.7,-0.7,"$6,700,000 ","$7,300,000 ",-0.3,0.2,0.54,1.2,6600000,1.4,"$7,700,000 ",3.3,5.1,-1.8,3.8,"2.2","2","29.35","6",77,"210","2","29","Vet","SG",24.4054054054054,"Bench","Positive","Negative"
"123",123,16406,"NYK","Jason Smith",28,82,1785,12,0.497,0.258,6.2,15,10.5,13.5,0.9,2.1,13.6,19.7,0,0.5,0.7,1.2,0.032,0,-2.5,-0.9,-3.4,-0.6,0.013,0.019,17,"smithja02",-10.3,19855,82,0.268,0.508,341700,0.509,0.87,-0.63,-0.07,-1.28,-0.44,-1.48,"45.00%",-0.66,-2.45,-1.98,-3.5,2.2,-1.6,-0.7,0.5,0.2,-1.6,-0.3,-0.2,-1.4,-0.6,-5.4,-0.7,-1.2,-4.9,-2.6,1.5,-1.1,-0.4,-0.9,1.6,-0.4,-0.3,-1.6,0.4,21.8,20.8,-3.5,-1.6,-0.7,-0.7,-2.6,-1.1,-0.4,-0.4,-0.9,-0.4,-0.3,-0.3,"($2,100,000)","($2,100,000)",-2.6,-3.1,0.06,-0.1,7e+05,-0.1,"$600,000 ",-1.8,-1,-0.7,-0.2,"4.4","5","28.92","6",84,"245","4","29","Mid","PF",21.7682926829268,"Bench","Negative","Negative"
"124",124,16407,"PHI","Hollis Thompson",23,71,1776,10.9,0.538,0.164,3.1,9.3,6,8.4,1.6,1.2,10.2,15.9,0,1.3,1.3,2.6,0.07,0,-1.1,-0.9,-2.1,0,0.035,0.035,14.3,"thompho01",-9.38,19800,82,0.268,0.494,332680,0.49,-2.13,-0.23,0.1,3.1,-0.08,0.67,"44.80%",0.3,2.34,-2.72,-2.1,2.2,-0.9,0,-0.7,0.4,1.7,0,0,1.4,0.6,-10.1,0.6,-2.6,0.8,-1.1,1.5,-0.5,0.3,-0.9,1.6,-0.4,-0.3,-0.2,0.4,25,23.7,-2.1,-0.9,0,0,-1.1,-0.5,0.3,0.3,-0.9,-0.4,-0.3,-0.3,"$900,000 ","$900,000 ",-1.9,-2,0.22,0,1e+06,0,"$900,000 ",-0.1,0.7,-0.8,0,"5","2","115.09","1",0,"0","5","115","Young","C",25.0140845070423,"Bench","Negative","Negative"
"125",125,16408,"OKC","Steven Adams",21,70,1771,14.1,0.549,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,0,1.9,2.2,4.1,0.111,0,-1.4,1.8,0.4,1.1,0.051,0.06,11.9,"adamsst01",2.54,19832,82,0.268,0.532,344899,0.531,-0.94,0.53,-0.16,0.85,-0.04,0.39,"44.70%",0.18,3.19,-0.03,0.4,2.2,0.2,1.1,0.7,0.2,-1.9,-0.3,0,-1.4,-0.6,2,2.7,-0.1,0.6,-1.4,1.5,-0.6,0.1,1.8,1.6,0.8,0.9,-3.2,0.4,25.3,23.9,0.4,0.2,1.1,1.2,-1.4,-0.6,0.1,0.1,1.8,0.8,0.9,1.1,"$6,000,000 ","$6,800,000 ",-0.1,0.1,0.53,1.1,6300000,1.2,"$6,900,000 ",2.8,0.3,2.5,3.4,"5","5","21.54","1",84,"255","5","22","Rookie","C",25.3,"Bench","Positive","Positive"
"126",126,16409,"DEN","Arron Afflalo",29,53,1750,11.7,0.533,0.23,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,0,1.4,0.4,1.8,0.05,0,0,-1.6,-1.6,0.2,0.039,0.011,17.9,"afflaar01",-3.07,19881,82,0.268,0.518,347248,0.516,-2.4,-1.64,0.01,1.5,0.79,-1.75,"44.00%",-0.77,-4.49,0.16,-1.6,2.2,-0.7,0.2,-1.2,0.3,1,-0.2,0.4,0.4,0.2,-1.3,0.4,-0.4,-1.8,0,1.5,0,0.7,-1.6,1.6,-0.7,-0.6,1.6,0.4,33,30.7,-1.6,-0.7,0.2,0.3,0,0,0.7,1.2,-1.6,-0.7,-0.6,-0.9,"$1,900,000 ","$2,300,000 ",0.5,-0.6,0.43,0.6,3900000,0.2,"$1,800,000 ",0.5,2,-1.5,0.5,"2.1","2","29.3","7",77,"210","2","29","Vet","SG",33.0188679245283,"Starter","Negative","Negative"
"127",127,16410,"BRK","Alan Anderson",32,74,1744,10.6,0.563,0.23,2,11.1,6.6,7.2,1.7,0.2,11,14.2,0,1.7,1.1,2.7,0.075,0,0,-0.5,-0.5,0.6,0.046,0.029,12.6,"anderal01",-3.31,19928,82,0.268,0.529,347023,0.526,-2.68,-0.63,0.04,2.88,-0.24,-0.67,"43.80%",-0.29,-4.76,0.16,-0.5,2.2,-0.2,0.6,-1.2,0.4,0.9,0.1,-0.1,0.1,0,-1.3,-1.1,-0.1,-2,0,1.5,0,0.7,-0.5,1.6,-0.2,-0.1,0.5,0.4,23.6,22.4,-0.5,-0.2,0.6,0.7,0,0,0.7,0.8,-0.5,-0.2,-0.1,-0.1,"$4,100,000 ","$4,400,000 ",-1.3,-0.9,0.38,0.4,3e+06,0.6,"$3,600,000 ",1.8,2,-0.2,1.5,"2.5","2","32.3","5",78,"220","3","32","Vet","SF",23.5675675675676,"Bench","Negative","Negative"
"128",128,16411,"BRK","Mason Plumlee",24,82,1743,18,0.57,0.648,11.3,21.6,16.5,7,1.9,2.9,14.4,19.2,0,2.5,2.3,4.8,0.131,0,-0.5,1.4,0.8,1.2,0.068,0.063,16.4,"plumlma01",-3.31,19928,82,0.268,0.529,347023,0.525,-0.36,1.05,-0.08,0.48,-0.5,0.67,"43.70%",0.29,-4.76,0.16,0.8,2.2,0.4,1.2,0.6,0.2,-1,0,-0.3,-0.4,-0.2,-1.3,-1.1,-0.1,-2,-0.5,1.5,-0.2,0.5,1.4,1.6,0.6,0.7,-1.9,0.4,21.3,20.3,0.8,0.4,1.2,1.2,-0.5,-0.2,0.5,0.5,1.4,0.6,0.7,0.7,"$6,800,000 ","$6,800,000 ",-1.7,-0.4,0.45,0.7,4300000,1.3,"$6,900,000 ",3.3,1.4,2,3.4,"4.8","5","24.91","1",83,"245","5","25","Young","C",21.2560975609756,"Bench","Positive","Positive"
"129",129,16412,"PHO","Goran Dragic",28,52,1735,16.7,0.573,0.191,3.2,8.5,5.8,20.2,1.4,0.4,13.4,21.5,0,3.1,0.9,4,0.111,0,2.1,-1.3,0.8,1.2,0.086,0.025,18.6,"dragigo01",-0.37,19879,82,0.268,0.537,342976,0.533,0.71,-0.91,0.21,0.09,0.83,0.71,"43.60%",0.31,-0.79,0.07,0.8,2.2,0.3,1.2,0.3,0.4,1.1,0,0.4,2.3,1,-0.5,0.5,-0.2,0.1,2.1,1.5,0.9,1.6,-1.3,1.6,-0.6,-0.4,3.4,0.4,33.4,31,0.8,0.3,1.2,1.9,2.1,0.9,1.6,2.6,-1.3,-0.6,-0.4,-0.7,"$6,700,000 ","$10,000,000 ",0.9,0.9,0.63,1.8,9500000,1.8,"$9,300,000 ",3.3,4.4,-1.2,4.8,"1.2","2","28.74","6",75,"190","1","29","Mid","PG",33.3653846153846,"Starter","Positive","Negative"
"130",130,16413,"BOS","Tyler Zeller",25,82,1731,18.9,0.594,0.3,9.1,20.5,14.7,10.8,0.5,2.3,9.8,19.6,0,4.5,2,6.5,0.179,0,0.4,0.4,0.9,1.2,0.124,0.055,17.7,"zellety01",-0.44,19880,82,0.268,0.523,347983,0.516,0.89,-1.02,0.05,1.64,-0.51,0.98,"43.50%",0.43,0.15,-0.13,0.9,2.2,0.4,1.2,0.7,0.3,0.9,-0.4,-0.3,1.2,0.5,-1.3,2.5,-0.8,0.9,0.4,1.5,0.2,0.9,0.4,1.6,0.2,0.3,0,0.4,21.1,20.1,0.9,0.4,1.2,1.2,0.4,0.2,0.9,0.9,0.4,0.2,0.3,0.3,"$6,900,000 ","$6,900,000 ",-1.4,-0.2,0.47,0.8,5e+06,1.4,"$7,400,000 ",3.4,2.5,0.8,3.6,"4.9","5","25.04","2",84,"253","5","25","Young","C",21.109756097561,"Bench","Positive","Positive"
"131",131,16414,"MIL","Zaza Pachulia",30,73,1730,15.6,0.506,0.302,13.1,19.9,16.5,16.2,2.4,1,18.2,19.1,0,1.3,2.9,4.2,0.116,0,-0.9,2.2,1.4,1.5,0.036,0.08,15.6,"pachuza01",-0.16,19929,82,0.268,0.536,336983,0.539,4.18,0.67,-0.08,-2.94,-0.23,1.68,"43.40%",0.73,1.29,-0.3,1.4,2.2,0.6,1.5,2.5,0.1,-3.1,0.3,-0.1,-0.3,-0.1,-3.1,-0.8,-0.6,3,-0.9,1.5,-0.4,0.4,2.2,1.6,1,1.1,-3.1,0.4,23.7,22.5,1.4,0.6,1.5,1.7,-0.9,-0.4,0.4,0.4,2.2,1,1.1,1.2,"$7,900,000 ","$8,800,000 ",-0.8,0.3,0.55,1.3,7e+06,1.9,"$9,800,000 ",4,1,3,5,"4.9","5","30.98","11",83,"270","5","31","Vet","C",23.6986301369863,"Bench","Positive","Positive"
"132",132,16415,"HOU","Patrick Beverley",26,56,1727,11.3,0.509,0.113,4.3,10.8,7.6,17.2,1.7,1,12.9,16.1,0,1.7,1.8,3.5,0.096,0,0.5,0.3,0.8,1.2,0.047,0.049,14,"beverpa01",4.01,19804,82,0.268,0.548,337012,0.551,0.93,-0.21,0.1,-0.1,0.55,1.17,"43.60%",0.51,6.44,-0.33,0.8,2.2,0.4,1.2,0.4,0.4,0.1,0.1,0.3,1.2,0.5,1.4,5.1,-0.7,2.6,0.5,1.5,0.2,1,0.3,1.6,0.1,0.3,0.2,0.4,30.8,28.8,0.8,0.4,1.2,1.8,0.5,0.2,1,1.4,0.3,0.1,0.3,0.4,"$6,900,000 ","$9,600,000 ",1.1,1,0.65,1.9,10100000,1.8,"$9,700,000 ",3.4,2.6,0.7,5,"1.1","1","26.56","2",73,"185","1","27","Mid","PG",30.8392857142857,"Starter","Positive","Positive"
"133",133,16416,"MIL","Jared Dudley",29,72,1717,12.3,0.572,0.158,3,11.6,7.3,11.5,2.1,0.5,12.1,13.5,0,2,2.1,4.1,0.116,0,0.1,0.5,0.6,1.1,0.057,0.059,11.9,"dudleja01",-0.16,19929,82,0.268,0.536,336983,0.534,-0.99,0.03,0.11,2.06,-0.21,0.89,"43.10%",0.38,1.29,-0.3,0.6,2.2,0.3,1.1,-0.5,0.4,0.7,0.2,-0.1,0.7,0.3,-3.1,-0.8,-0.6,3,0.1,1.5,0.1,0.8,0.5,1.6,0.2,0.3,-0.3,0.4,23.8,22.6,0.6,0.3,1.1,1.3,0.1,0.1,0.8,0.9,0.5,0.2,0.3,0.4,"$6,300,000 ","$7,000,000 ",-0.8,-0.1,0.49,0.9,5500000,1.3,"$7,000,000 ",3,2.1,0.9,3.5,"2.7","2","29.56","7",79,"225","3","30","Vet","SF",23.8472222222222,"Bench","Positive","Positive"
"134",134,16417,"MIL","Jerryd Bayless",26,77,1717,11.1,0.519,0.266,1.5,12.5,7,21,1.8,0.6,18.8,18.6,0,0.3,2,2.4,0.066,0,-2.3,-0.3,-2.6,-0.3,0.009,0.057,15.1,"bayleje01",-0.16,19929,82,0.268,0.536,336983,0.537,0.84,-0.3,0.1,-2.48,-0.38,-2.32,"43.10%",-1,1.29,-0.3,-2.6,2.2,-1.1,-0.3,-0.2,0.3,-1.8,0.1,-0.2,-1.8,-0.8,-3.1,-0.8,-0.6,3,-2.3,1.5,-1,-0.3,-0.3,1.6,-0.1,0,-2.1,0.4,22.3,21.2,-2.6,-1.1,-0.3,-0.3,-2.3,-1,-0.3,-0.3,-0.3,-0.1,0,0,"($300,000)","($300,000)",-1.1,-1.9,0.24,0,1100000,-0.1,"$300,000 ",-0.7,-0.7,0,-0.4,"1.4","1","26.45","6",75,"200","1","27","Mid","PG",22.2987012987013,"Bench","Negative","Negative"
"135",135,16418,"LAC","Jamal Crawford",34,64,1703,16.6,0.532,0.3,1.2,6.9,4.1,14.9,1.8,0.7,8.8,27.6,0,2.5,1.2,3.6,0.102,0,1.7,-2.7,-1,0.4,0.069,0.033,25.2,"crawfja01",7.21,19730,82,0.268,0.565,348865,0.57,-1.47,-0.24,0.01,-0.43,0.09,-2.06,"43.20%",-0.89,3.45,1.04,-1,2.2,-0.4,0.4,-0.7,0.3,1.3,0.1,0,1.1,0.5,6.9,5.2,0.6,0.3,1.7,1.5,0.7,1.5,-2.7,1.6,-1.2,-1,4.4,0.4,26.6,25,-1,-0.4,0.4,0.5,1.7,0.7,1.5,1.9,-2.7,-1.2,-1,-1.3,"$3,000,000 ","$3,600,000 ",0.8,-0.1,0.49,0.9,5300000,0.5,"$3,300,000 ",1.1,4,-2.8,1.3,"1.6","2","34.87","14",77,"195","2","35","Vet","SG",26.609375,"Bench","Negative","Negative"
"136",136,16419,"MIL","O.J. Mayo",27,71,1697,13.5,0.529,0.198,2,10.5,6.3,19.4,1.7,0.9,14.4,23.6,0,0.9,1.9,2.8,0.079,0,0,-1.3,-1.3,0.3,0.025,0.054,20.2,"mayooj01",-0.16,19929,82,0.268,0.536,336983,0.537,0.43,-0.26,0.14,-0.95,-0.21,-0.99,"42.60%",-0.42,1.29,-0.3,-1.3,2.2,-0.5,0.3,-0.1,0.4,0.4,0.1,-0.1,0.6,0.3,-3.1,-0.8,-0.6,3,0,1.5,0,0.7,-1.3,1.6,-0.5,-0.4,1.3,0.4,23.9,22.6,-1.3,-0.5,0.3,0.4,0,0,0.7,0.8,-1.3,-0.5,-0.4,-0.5,"$2,400,000 ","$2,700,000 ",-0.8,-1,0.36,0.3,2600000,0.3,"$2,200,000 ",0.8,2,-1.1,0.7,"1.9","2","27.24","6",77,"210","2","27","Mid","SG",23.9014084507042,"Bench","Negative","Negative"
"137",137,16420,"WAS","Nene Hilario",32,67,1693,14.3,0.534,0.336,5.7,17,11.5,12,2,1,15.2,21.8,0,0.5,2.5,3,0.086,0,-1.9,1.3,-0.6,0.6,0.015,0.071,18.5,"hilarne01",0.25,19956,82,0.268,0.534,343082,0.534,0.39,0.17,-0.09,-1.75,-0.06,-1.25,"42.40%",-0.53,-2.93,0.65,-0.6,2.2,-0.3,0.6,0.1,0.2,-2.1,0.2,0,-1.6,-0.7,-2.1,-1.1,-0.3,2.3,-1.9,1.5,-0.8,-0.1,1.3,1.6,0.5,0.7,-3.2,0.4,25.3,23.8,-0.6,-0.3,0.6,0.7,-1.9,-0.8,-0.1,-0.1,1.3,0.5,0.7,0.8,"$3,800,000 ","$4,400,000 ",-0.5,-0.5,0.43,0.6,4e+06,0.6,"$3,800,000 ",1.6,-0.2,1.8,1.6,"4.3","4","32.39","12",83,"250","4","32","Vet","PF",25.2686567164179,"Bench","Negative","Positive"
"138",138,16421,"CHI","Taj Gibson",29,62,1692,16.1,0.545,0.364,10.7,14.6,12.7,6.9,1.1,3.2,11.6,17.6,0,2.7,2.1,4.8,0.137,0,-0.6,1.1,0.6,1.1,0.077,0.06,15.6,"gibsota01",2.88,19881,82,0.268,0.536,346370,0.536,-0.38,0.21,-0.16,0.39,0.17,0.38,"42.60%",0.16,2.65,0.16,0.5,2.2,0.2,1.1,0.9,0.2,-1.3,-0.3,0.1,-0.4,-0.2,2,3.1,-0.1,0.9,-0.6,1.5,-0.2,0.5,1.1,1.6,0.5,0.6,-1.7,0.4,27.3,25.6,0.5,0.2,1.1,1.4,-0.6,-0.2,0.5,0.6,1.1,0.5,0.6,0.8,"$6,100,000 ","$7,800,000 ",0.3,0.4,0.57,1.4,7500000,1.4,"$7,800,000 ",2.9,1.3,1.6,3.9,"3.8","4","29.61","5",81,"225","4","30","Vet","PF",27.2903225806452,"Starter","Positive","Positive"
"139",139,16422,"LAL","Carlos Boozer",33,71,1692,16.4,0.517,0.202,7,25.2,15.7,10.3,1.2,0.6,10.2,23.7,0,1.2,1,2.2,0.062,0,-1.8,-1.5,-3.3,-0.6,0.034,0.028,21.3,"boozeca01",-6.65,19932,82,0.268,0.513,350423,0.512,0.01,-1.05,-0.11,-0.9,-0.21,-2.16,"42.40%",-0.92,-2.29,-1.14,-3.3,2.2,-1.4,-0.5,-0.2,0.2,-0.9,-0.1,-0.1,-1.2,-0.5,-2.2,0.2,-0.6,-4.5,-1.8,1.5,-0.7,0,-1.5,1.6,-0.7,-0.5,-0.2,0.4,23.8,22.6,-3.3,-1.4,-0.5,-0.6,-1.8,-0.7,0,0,-1.5,-0.7,-0.5,-0.6,"($1,600,000)","($2,000,000)",-1.7,-2.5,0.14,-0.1,6e+05,-0.2,"$100,000 ",-1.5,-0.1,-1.4,-0.5,"4.3","4","33.2","12",81,"258","4","33","Vet","PF",23.830985915493,"Bench","Negative","Negative"
"140",140,16423,"MIL","Brandon Knight",23,52,1688,18.5,0.556,0.26,1.8,13.1,7.5,28.6,2.5,0.5,16.7,26.6,0,2,2.4,4.4,0.124,0,2.3,-0.1,2.2,1.8,0.056,0.068,22.2,"knighbr03",-0.16,19929,82,0.268,0.536,336983,0.534,2.62,0.53,0.34,-1.36,0.72,2.51,"42.40%",1.06,1.29,-0.3,2.2,2.2,0.9,1.8,0.4,0.5,1.2,0.4,0.4,2.9,1.2,-3.1,-0.8,-0.6,3,2.3,1.5,1,1.7,-0.1,1.6,0,0.1,2.4,0.4,32.5,30.1,2.2,0.9,1.8,2.8,2.3,1,1.7,2.7,-0.1,0,0.1,0.1,"$9,400,000 ","$14,300,000 ",0.8,1.5,0.73,2.6,1.3e+07,3.1,"$15,400,000 ",4.8,4.6,0.2,8.2,"1.1","1","23.17","3",75,"189","1","23","Young","PG",32.4615384615385,"Starter","Positive","Negative"
"141",141,16424,"DAL","Devin Harris",31,76,1685,14.8,0.559,0.309,0.8,8,4.4,20.4,2.3,0.7,12.5,18,0,2.9,1.3,4.2,0.12,0,1.9,-0.8,1.2,1.3,0.083,0.037,15.8,"harride01",3.64,19881,82,0.268,0.55,350251,0.549,-0.49,0.38,0.23,0.33,-0.4,-0.17,"42.40%",-0.07,-2.3,1.33,1.2,2.2,0.5,1.3,-0.5,0.5,1.2,0.3,-0.2,1.3,0.5,4.1,1.4,0.7,-0.4,1.9,1.5,0.8,1.5,-0.8,1.6,-0.3,-0.2,2.7,0.4,22.2,21.1,1.2,0.5,1.3,1.4,1.9,0.8,1.5,1.7,-0.8,-0.3,-0.2,-0.2,"$7,300,000 ","$7,800,000 ",-0.6,0.3,0.55,1.3,7e+06,1.8,"$9,300,000 ",3.6,4.2,-0.6,4.7,"1.2","1","31.93","10",75,"192","1","32","Vet","PG",22.1710526315789,"Bench","Positive","Negative"
"142",142,16425,"NYK","Tim Hardaway",22,70,1681,12.1,0.512,0.218,0.8,10.2,5.4,13.5,0.6,0.7,9.5,23.8,0,0.8,0,0.8,0.023,0,0.1,-4.2,-4.1,-0.9,0.023,0,21.5,"hardati02",-10.3,19855,82,0.268,0.508,341700,0.507,-1.5,-1.75,0.09,1.33,-0.19,-2.11,"42.30%",-0.89,-2.45,-1.98,-4.1,2.2,-1.7,-0.9,-0.9,0.4,2.3,-0.3,-0.1,1.3,0.5,-5.4,-0.7,-1.2,-4.9,0.1,1.5,0.1,0.8,-4.2,1.6,-1.8,-1.7,4.3,0.4,24,22.7,-4.1,-1.7,-0.9,-1,0.1,0.1,0.8,0.9,-4.2,-1.8,-1.7,-1.9,"($3,200,000)","($3,900,000)",-2.2,-3.2,0.05,-0.1,7e+05,-0.1,"$500,000 ",-2.4,2.1,-4.5,-0.3,"2.1","2","22.88","1",78,"205","2","23","Rookie","SG",24.0142857142857,"Bench","Negative","Negative"
"143",143,16426,"NOP","Ryan Anderson",26,61,1675,15.6,0.524,0.207,7.3,12.7,10,5.4,1,0.9,7.2,23.4,0,2.6,0.9,3.5,0.1,0,2,-3.1,-1.1,0.4,0.074,0.026,21.7,"anderry01",1.16,19782,82,0.268,0.537,346147,0.539,-1.96,-1.14,-0.09,1.6,0.18,-1.32,"42.30%",-0.56,0.45,0.19,-1.1,2.2,-0.5,0.4,-0.1,0.3,1.6,-0.2,0.1,1.7,0.7,2.6,1.5,0.3,-1.4,2,1.5,0.8,1.6,-3.1,1.6,-1.3,-1.2,5.1,0.4,27.5,25.8,-1.1,-0.5,0.4,0.5,2,0.8,1.6,2.1,-3.1,-1.3,-1.2,-1.6,"$2,700,000 ","$3,300,000 ",0.1,-0.5,0.43,0.6,4e+06,0.4,"$2,800,000 ",1,4.2,-3.2,1,"4","4","26.74","6",82,"240","4","27","Mid","PF",27.4590163934426,"Starter","Negative","Negative"
"144",144,16427,"LAL","Wayne Ellington",27,65,1675,11.6,0.504,0.104,2,12.3,6.9,10.2,1,0.1,7.2,18.5,0,1.1,0.1,1.2,0.034,0,-0.4,-2.6,-3,-0.4,0.031,0.003,17.2,"ellinwa01",-6.65,19932,82,0.268,0.513,350423,0.514,-1.78,-1.57,-0.02,1.51,0,-1.84,"42.00%",-0.77,-2.29,-1.14,-3,2.2,-1.3,-0.4,-0.9,0.3,1,-0.1,0,0.2,0.1,-2.2,0.2,-0.6,-4.5,-0.4,1.5,-0.2,0.6,-2.6,1.6,-1.1,-1,2.3,0.4,25.8,24.3,-3,-1.3,-0.4,-0.5,-0.4,-0.2,0.6,0.7,-2.6,-1.1,-1,-1.2,"($900,000)","($1,400,000)",-1.4,-2.2,0.19,0,8e+05,-0.2,"$100,000 ",-1.1,1.5,-2.6,-0.5,"1.8","2","27.26","5",76,"200","2","27","Mid","SG",25.7692307692308,"Bench","Negative","Negative"
"145",145,16428,"UTA","Joe Ingles",27,79,1673,9.6,0.533,0.113,1.5,10.5,6,16.8,2.3,0.5,20.9,12.9,0,0.5,1.6,2.2,0.062,0,-1.1,0.3,-0.8,0.5,0.015,0.047,10.2,"inglejo01",0.79,19705,82,0.268,0.531,336440,0.531,-0.37,0.28,0.17,-0.3,-0.51,-0.9,"42.50%",-0.38,0.25,0.14,-0.8,2.2,-0.3,0.5,-0.5,0.4,-0.9,0.3,-0.3,-0.9,-0.4,-0.2,0.3,-0.1,1,-1.1,1.5,-0.4,0.3,0.3,1.6,0.1,0.3,-1.3,0.4,21.2,20.2,-0.8,-0.3,0.5,0.5,-1.1,-0.4,0.3,0.3,0.3,0.1,0.3,0.3,"$3,500,000 ","$3,600,000 ",-1.2,-1,0.37,0.4,2800000,0.5,"$3,200,000 ",1.4,0.7,0.7,1.2,"2.7","3","27.34","0",80,"226","3","27","Mid","SF",21.1772151898734,"Bench","Negative","Positive"
"146",146,16429,"ORL","Evan Fournier",22,58,1661,12.4,0.546,0.256,1.9,8.7,5.2,11.5,1.2,0.1,11.4,19.7,0,1.5,0.6,2.1,0.059,0,0.2,-2.3,-2.1,-0.1,0.043,0.016,17.5,"fournev01",-6.23,19755,82,0.268,0.525,339398,0.523,-1.72,-1.32,0.07,1.35,0.31,-1.38,"42.00%",-0.58,-3.81,-0.73,-2.1,2.2,-0.9,0,-0.7,0.4,1.1,-0.1,0.2,0.8,0.3,-4.1,-1.8,-0.6,-2.1,0.2,1.5,0.1,0.8,-2.3,1.6,-1,-0.8,2.4,0.4,28.6,26.8,-2.1,-0.9,0,-0.1,0.2,0.1,0.8,1.1,-2.3,-1,-0.8,-1.2,"$800,000 ","$700,000 ",-0.8,-1.5,0.3,0.2,1800000,0,"$800,000 ",-0.1,2.1,-2.2,-0.1,"2.3","2","22.26","2",79,"205","2","22","Rookie","SG",28.6379310344828,"Starter","Negative","Negative"
